iteration,loss,loss_coarse,loss_fine,psnr,learning_rate,time_per_iter,rays_per_sec
0,0.3333331346511841,0.1284724771976471,0.204860657453537,6.8854146003723145,0.0004999953948510215,0.2864210605621338,3575.15609358573
1,0.3877047598361969,0.18485993146896362,0.20284482836723328,6.928360939025879,0.0004999907897444578,0.1025080680847168,9989.45760204675
2,0.38965630531311035,0.1859646737575531,0.20369164645671844,6.9102678298950195,0.0004999861846803086,0.10850334167480469,9437.497354404346
3,0.3755532503128052,0.17977289855480194,0.19578033685684204,7.082309722900391,0.0004999815796585733,0.11002802848815918,9306.71951565686
4,0.36819374561309814,0.17697827517986298,0.19121548533439636,7.184769630432129,0.0004999769746792518,0.10860610008239746,9428.568001457652
5,0.3518025875091553,0.1688288450241089,0.1829737424850464,7.376112461090088,0.0004999723697423433,0.10794258117675781,9486.52504726733
6,0.3393937349319458,0.16346469521522522,0.17592903971672058,7.546625137329102,0.0004999677648478477,0.10842299461364746,9444.491029314428
7,0.3275071084499359,0.1584785431623459,0.16902856528759003,7.720398902893066,0.0004999631599957647,0.10960078239440918,9342.998997169887
8,0.304377019405365,0.14852815866470337,0.15584887564182281,8.07296371459961,0.0004999585551860936,0.10758781433105469,9517.806513376
9,0.2831465005874634,0.1403314769268036,0.14281503856182098,8.452260971069336,0.0004999539504188343,0.10935568809509277,9363.939067436137
10,0.2497161328792572,0.12631940841674805,0.12339671701192856,9.086963653564453,0.0004999493456939861,0.11019587516784668,9292.543831066974
11,0.2190723717212677,0.11333092302083969,0.10574144124984741,9.757548332214355,0.000499944741011549,0.1083071231842041,9454.595135524232
12,0.20044875144958496,0.10373564809560776,0.0967131108045578,10.145147323608398,0.0004999401363715223,0.10907626152038574,9387.927177982903
13,0.18863312900066376,0.09285353869199753,0.09577959030866623,10.187271118164062,0.0004999355317739057,0.1074368953704834,9531.17638469408
14,0.18698126077651978,0.09063892066478729,0.09634234756231308,10.16182804107666,0.0004999309272186987,0.10954594612121582,9347.675895435817
15,0.20530128479003906,0.1013231873512268,0.10397809743881226,9.830581665039062,0.0004999263227059012,0.10794234275817871,9486.54600071122
16,0.19856099784374237,0.09890618175268173,0.09965481609106064,10.015016555786133,0.0004999217182355126,0.10849976539611816,9437.808425313297
17,0.17989641427993774,0.0900743156671524,0.08982210606336594,10.466167449951172,0.0004999171138075324,0.10847330093383789,9440.11098753764
18,0.18141710758209229,0.09079611301422119,0.0906209871172905,10.427712440490723,0.0004999125094219605,0.10760784149169922,9516.035130943414
19,0.1918376237154007,0.09593995660543442,0.09589766710996628,10.18191909790039,0.0004999079050787964,0.109405517578125,9359.67419804742
20,0.17910297214984894,0.08933453261852264,0.0897684395313263,10.46876335144043,0.0004999033007780396,0.11004495620727539,9305.287904983512
21,0.17479613423347473,0.08720304816961288,0.08759307861328125,10.575303077697754,0.0004998986965196898,0.10699844360351562,9570.232664266106
22,0.17595967650413513,0.08804893493652344,0.0879107341170311,10.559581756591797,0.0004998940923037465,0.10749220848083496,9526.271852369387
23,0.1799306422472,0.09009505808353424,0.08983558416366577,10.465516090393066,0.0004998894881302095,0.1085350513458252,9434.740089054081
24,0.1769145429134369,0.08872195333242416,0.08819258213043213,10.545679092407227,0.0004998848839990783,0.1095132827758789,9350.463925874967
25,0.17796725034713745,0.08920266479253769,0.08876459300518036,10.517602920532227,0.0004998802799103525,0.10996294021606445,9312.228265158776
26,0.179526686668396,0.0900612324476242,0.08946545422077179,10.483447074890137,0.0004998756758640317,0.10861515998840332,9427.781537212033
27,0.17150606215000153,0.08597812056541443,0.0855279415845871,10.678919792175293,0.0004998710718601156,0.1099097728729248,9316.732927689021
28,0.16773535311222076,0.08402568101882935,0.08370967209339142,10.77224349975586,0.0004998664678986037,0.10747647285461426,9527.666593461687
29,0.18244603276252747,0.09153803437948227,0.0909080058336258,10.413979530334473,0.0004998618639794957,0.10992288589477539,9315.621507428696
30,0.17113547027111053,0.08581968396902084,0.08531578630208969,10.689705848693848,0.0004998572601027911,0.10798835754394531,9482.50370030203
31,0.17685934901237488,0.08868499845266342,0.08817434310913086,10.546577453613281,0.0004998526562684897,0.10853099822998047,9435.092431658217
32,0.17874334752559662,0.08960174024105072,0.0891416072845459,10.49919605255127,0.0004998480524765909,0.10849404335021973,9438.306181423426
33,0.17100374400615692,0.08573326468467712,0.0852704793214798,10.69201374053955,0.0004998434487270945,0.1090536117553711,9389.876992767882
34,0.1786225438117981,0.0894819125533104,0.0891406387090683,10.49924373626709,0.0004998388450199998,0.10756897926330566,9519.473058245434
35,0.17267633974552155,0.08648400753736496,0.08619233220815659,10.645313262939453,0.0004998342413553067,0.10837602615356445,9448.584122737931
36,0.16903764009475708,0.08482769131660461,0.08420994877815247,10.746365547180176,0.0004998296377330148,0.1080620288848877,9476.038998775497
37,0.17194339632987976,0.08620116114616394,0.08574223518371582,10.668052673339844,0.0004998250341531235,0.1079249382019043,9488.075852166037
38,0.17352740466594696,0.08709923923015594,0.08642816543579102,10.633447647094727,0.0004998204306156327,0.10906791687011719,9388.645436580802
39,0.18642789125442505,0.09363134950399399,0.09279653429985046,10.32468318939209,0.0004998158271205418,0.10797595977783203,9483.592478427146
40,0.15557719767093658,0.0781349465250969,0.07744225114583969,11.110220909118652,0.0004998112236678504,0.10706186294555664,9564.563625431467
41,0.1813398003578186,0.09143485873937607,0.08990494906902313,10.462164878845215,0.0004998066202575582,0.1079413890838623,9486.629815412412
42,0.17862474918365479,0.08983342349529266,0.08879132568836212,10.516295433044434,0.0004998020168896647,0.10806632041931152,9475.662685902003
