iteration,loss,loss_coarse,loss_fine,psnr,learning_rate,time_per_iter,rays_per_sec
0,0.3386520445346832,0.13571462035179138,0.20293742418289185,6.9263787269592285,0.0004999953948510215,0.22212815284729004,4609.951448630582
1,0.3880842924118042,0.18528705835342407,0.20279721915721893,6.929380416870117,0.0004999907897444578,0.10063457489013672,10175.429280820295
2,0.3772118091583252,0.1803942769765854,0.1968175172805786,7.059362411499023,0.0004999861846803086,0.10418367385864258,9828.795262004036
3,0.3752557039260864,0.1793917864561081,0.19586393237113953,7.080455303192139,0.0004999815796585733,0.10522794723510742,9731.255117161125
4,0.3628518581390381,0.17395643889904022,0.18889543414115906,7.237786293029785,0.0004999769746792518,0.10310602188110352,9931.52467060385
5,0.34565815329551697,0.16616421937942505,0.17949393391609192,7.459502696990967,0.0004999723697423433,0.1056663990020752,9690.87628300733
6,0.3331725001335144,0.16041980683803558,0.17275270819664001,7.625751495361328,0.0004999677648478477,0.10487961769104004,9763.574873208956
7,0.32271212339401245,0.1566334366798401,0.16607870161533356,7.796860694885254,0.0004999631599957647,0.10390925407409668,9854.75267938884
8,0.306072860956192,0.1492311954498291,0.15684166550636292,8.045385360717773,0.0004999585551860936,0.10440921783447266,9807.563175345495
9,0.27396243810653687,0.13603560626506805,0.13792681694030762,8.60351276397705,0.0004999539504188343,0.10508370399475098,9744.612733208849
10,0.25279754400253296,0.12756824493408203,0.12522929906845093,9.022940635681152,0.0004999493456939861,0.10404634475708008,9841.768131218463
11,0.22126813232898712,0.11434502899646759,0.10692310333251953,9.709283828735352,0.000499944741011549,0.10446763038635254,9802.079325557033
12,0.1775856614112854,0.0926932692527771,0.0848923921585083,10.711312294006348,0.0004999401363715223,0.10430312156677246,9817.539347031514
13,0.18741412460803986,0.09182527661323547,0.09558884799480438,10.195927619934082,0.0004999355317739057,0.10432028770446777,9815.923848877044
14,0.18442505598068237,0.08866109699010849,0.09576396644115448,10.187978744506836,0.0004999309272186987,0.10485124588012695,9766.216809390193
15,0.20508432388305664,0.10029305517673492,0.10479126870632172,9.796749114990234,0.0004999263227059012,0.10473203659057617,9777.3330237344
16,0.2247810661792755,0.11104784905910492,0.1137332171201706,9.44112777709961,0.0004999217182355126,0.1038517951965332,9860.205093827626
17,0.199563130736351,0.09893912076950073,0.10062400996685028,9.972983360290527,0.0004999171138075324,0.10459065437316895,9790.549701950147
18,0.20121172070503235,0.09970532357692719,0.10150639712810516,9.935066223144531,0.0004999125094219605,0.10490012168884277,9761.666464386124
19,0.17074285447597504,0.08450442552566528,0.08623842895030975,10.64299201965332,0.0004999079050787964,0.10563850402832031,9693.435262255123
20,0.18606048822402954,0.0921400934457779,0.09392039477825165,10.272401809692383,0.0004999033007780396,0.10341048240661621,9902.284334904953
21,0.17559686303138733,0.08713534474372864,0.08846151828765869,10.532456398010254,0.0004998986965196898,0.10440754890441895,9807.719946930583
22,0.17244693636894226,0.08585619926452637,0.0865907296538353,10.625286102294922,0.0004998940923037465,0.10387635231018066,9857.87407072476
23,0.17870807647705078,0.08926036208868027,0.08944770693778992,10.484308242797852,0.0004998894881302095,0.10437464714050293,9810.811610424438
24,0.17616982758045197,0.08812420070171356,0.0880456268787384,10.552922248840332,0.0004998848839990783,0.10439562797546387,9808.839889738209
25,0.18171975016593933,0.09089114516973495,0.09082859754562378,10.417774200439453,0.0004998802799103525,0.10510468482971191,9742.667528655456
26,0.17734527587890625,0.08868920803070068,0.08865606039762497,10.52291488647461,0.0004998756758640317,0.10736608505249023,9537.46240723387
27,0.16702790558338165,0.08346661180257797,0.08356129378080368,10.779948234558105,0.0004998710718601156,0.10356664657592773,9887.353060613734
28,0.16269844770431519,0.08130521327257156,0.08139324188232422,10.89411735534668,0.0004998664678986037,0.1046905517578125,9781.207404168488
29,0.17665523290634155,0.08840827643871307,0.08824696391820908,10.54300308227539,0.0004998618639794957,0.1042487621307373,9822.65860112384
30,0.16835519671440125,0.08418084681034088,0.08417434990406036,10.748201370239258,0.0004998572601027911,0.10416340827941895,9830.70750961906
31,0.17357243597507477,0.08700010180473328,0.08657233417034149,10.626209259033203,0.0004998526562684897,0.10583972930908203,9675.00584784783
32,0.18236999213695526,0.0915139764547348,0.09085601568222046,10.416463851928711,0.0004998480524765909,0.10458707809448242,9790.88448264071
33,0.17074257135391235,0.08559694141149521,0.08514562249183655,10.698376655578613,0.0004998434487270945,0.1040036678314209,9845.806608088065
34,0.1562821865081787,0.0782984271645546,0.07798376679420471,11.079957962036133,0.0004998388450199998,0.10445022583007812,9803.712647456265
35,0.170390784740448,0.08541731536388397,0.08497347682714462,10.70716667175293,0.0004998342413553067,0.1050572395324707,9747.06745158201
36,0.1785198152065277,0.08943329751491547,0.08908651769161224,10.501880645751953,0.0004998296377330148,0.10431170463562012,9816.731531490348
37,0.15469318628311157,0.07746998965740204,0.07722319662570953,11.122522354125977,0.0004998250341531235,0.10426616668701172,9821.018960770505
38,0.17227771878242493,0.08633969724178314,0.08593802154064178,10.658147811889648,0.0004998204306156327,0.10441827774047852,9806.71221704166
39,0.17913860082626343,0.08969350159168243,0.08944510668516159,10.484434127807617,0.0004998158271205418,0.10446524620056152,9802.303036112462
40,0.15896517038345337,0.07972804456949234,0.07923712581396103,11.010712623596191,0.0004998112236678504,0.1039574146270752,9850.187249013254
41,0.18363577127456665,0.0921727642416954,0.09146301448345184,10.387545585632324,0.0004998066202575582,0.1045677661895752,9792.692694071215
42,0.17332351207733154,0.08702768385410309,0.08629582822322845,10.64010238647461,0.0004998020168896647,0.10402202606201172,9844.068980059592
